City,colors,shape,State,Time
Huntington Beach,,DISK,CA,1945-08-08 12:00:00
San Antonio,,OVAL,NM,1945-08-16 11:30:00
Roswell,,SPHERE,NM,1945-12-15 02:00:00
New York City,,DISK,NY,1946-01-08 02:00:00
Merced,,SPHERE,CA,1946-02-01 17:00:00
Alice,,DISK,TX,1946-03-15 15:30:00
Blairsden,GREEN,SPHERE,CA,1946-06-30 19:00:00
Index,,FIREBALL,WA,1946-06-30 21:00:00
South Portland,,OVAL,ME,1946-07-01 13:30:00
Oak Lawn,,FORMATION,IL,1946-09-12 00:00:00
Dome,,FLASH,AZ,1946-09-30 20:30:00
Conroe,,OTHER,TX,1947-01-10 20:00:00
Syracuse,,DISK,NY,1947-02-20 22:15:00
Miami,,OTHER,FL,1947-04-15 14:00:00
San Deigo,,TRIANGLE,CA,1947-04-15 23:00:00
Cleveland,,LIGHT,OH,1947-06-01 02:30:00
Espanola,,CIRCLE,NM,1947-06-01 17:00:00
Winona,,DISK,MN,1947-06-15 10:00:00
Gackle,,OTHER,ND,1947-06-15 14:00:00
Madison,,DISK,WI,1947-06-15 18:00:00
Hayward,,CIRCLE,CA,1947-06-20 12:00:00
Tacoma,,OTHER,WA,1947-06-30 00:00:00
Baltimore,,OVAL,MD,1947-06-30 18:00:00
Cashmere,,FORMATION,WA,1947-07-01 20:00:00
Maywood,,DISK,CA,1947-07-01 20:00:00
Seattle,,OVAL,WA,1947-07-04 17:30:00
Philadelphia,,DISK,PA,1947-07-05 11:30:00
Johnston City,,DISK,IL,1947-07-09 20:00:00
Syracuse,,CIGAR,NY,1947-07-14 10:30:00
Richmond,,CIRCLE,CA,1947-07-14 11:00:00
Las Vegas,,DISK,NV,1947-07-15 10:00:00
Keeneyville,,FORMATION,IL,1947-07-15 12:00:00
Clintwood,,CYLINDER,VA,1947-07-15 15:00:00
Hazelton,,DISK,ID,1947-07-15 15:00:00
Minneapolis,,DISK,MN,1947-07-15 17:00:00
Morehouse,,CYLINDER,MO,1947-07-15 21:00:00
San Jose,BLUE,CHEVRON,CA,1947-07-15 21:00:00
Raton,,OVAL,NM,1947-07-20 22:00:00
Modesto,BLUE,DISK,CA,1947-08-08 22:00:00
Henrietta,,LIGHT,OK,1947-08-12 01:00:00
Saranac Lake,,DISK,NY,1947-08-12 22:00:00
Proctor,,CIGAR,OK,1947-08-15 20:15:00
Whitmore Lake,,CIGAR,MI,1947-12-24 21:00:00
Kelseyville,,DISK,CA,1948-04-30 12:00:00
Scipio,RED,SPHERE,IN,1948-05-10 19:00:00
Borger,,DISK,TX,1948-06-15 16:00:00
Baltimore,,OVAL,MD,1948-06-30 00:00:00
Ojai,,LIGHT,CA,1948-07-15 22:00:00
New York City,,CIRCLE,NY,1948-08-01 02:00:00
Conshohocken,,OVAL,PA,1948-08-15 12:00:00
Sharpsburg,,CIRCLE,MD,1948-12-12 23:30:00
Seattle,,DISK,WA,1949-04-10 15:00:00
Oak Ridge,,OTHER,WV,1949-05-01 14:00:00
Grays,,LIGHT,SC,1949-05-15 06:30:00
Los Angeles,,CIRCLE,CT,1949-06-04 10:00:00
Anchorage,,DISK,AK,1949-06-10 21:00:00
Knoxville,,OTHER,TN,1949-06-30 15:00:00
Salem,,CIGAR,OR,1949-06-30 21:00:00
Fairbanks,,DISK,AK,1949-07-01 11:00:00
Marion,,FORMATION,AL,1949-07-01 16:00:00
Excelsior,,CIRCLE,MN,1949-08-15 00:00:00
Mill Valley,,LIGHT,CA,1949-08-15 21:00:00
Tarrant City,ORANGE,CIRCLE,AL,1949-08-15 22:00:00
Steilacoom,,DISK,WA,1949-08-25 19:00:00
Mt Gilead,,CIRCLE,OH,1949-09-15 21:00:00
Post,,DISK,TX,1949-09-15 21:00:00
San Marcos,,CYLINDER,TX,1949-10-10 20:30:00
Lackland AFB,,LIGHT,TX,1949-10-10 21:00:00
Baltimore,,CIGAR,MD,1949-10-15 20:00:00
New York City,,OVAL,NY,1950-01-02 00:00:00
Arkansas,,DISK,AR,1950-04-15 08:00:00
Waynesborough,,DISK,VA,1950-04-15 14:00:00
Fort Lewis,,TRIANGLE,WA,1950-05-12 14:00:00
Philadelphia,,DISK,MS,1950-06-01 16:00:00
Pittsburgh,,OVAL,PA,1950-06-01 20:00:00
Kensington,,OVAL,MD,1950-06-07 20:00:00
Kansas City,,DISK,MO,1950-06-08 10:00:00
Napa,GREEN,DISK,CA,1950-06-10 00:00:00
Grosse Pointe Park,,OVAL,MI,1950-06-15 13:00:00
Bonifay,,DISK,FL,1950-06-15 20:00:00
Fort Worth,,DISK,TX,1950-06-15 20:00:00
Booneville,,DISK,MS,1950-06-20 10:00:00
Galveston,,SPHERE,TX,1950-06-20 17:00:00
Lac Du Flambeau,,DISK,WI,1950-06-30 16:00:00
Florence,,DISK,CO,1950-06-30 17:30:00
Florence,,LIGHT,CO,1950-06-30 17:30:00
Coeur d'Alene,ORANGE,CIGAR,ID,1950-07-02 13:00:00
Bay St. Louis,,LIGHT,MS,1950-07-02 21:00:00
East Palestine,,LIGHT,OH,1950-07-10 20:30:00
Newark,,SPHERE,NJ,1950-07-15 21:30:00
Los Padres National Forest,,FORMATION,CA,1950-07-15 23:00:00
Smithport,,DISK,PA,1950-07-20 21:30:00
Louisville,,OTHER,KY,1950-08-01 04:00:00
Stanfield,,DISK,OR,1950-08-15 14:00:00
Pikeville,,DISK,KY,1950-10-01 11:00:00
Sandy Hook,,TRIANGLE,NJ,1950-10-15 15:00:00
Half Moon Bay,,OTHER,CA,1950-12-12 22:00:00
Palm Springs,,CIGAR,CA,1951-01-20 04:30:00
Thompsonville,,DISK,CT,1951-02-03 22:00:00
Los Angeles,,DISK,CA,1951-02-15 11:00:00
Irving,BLUE,DISK,KS,1951-04-15 00:30:00
Fort Sill,,OVAL,OK,1951-05-15 03:00:00
Oklahoma,,CIGAR,OK,1951-06-01 19:00:00
Jasper,,OVAL,NC,1951-06-03 13:00:00
Mount Pinos,,DISK,CA,1951-06-06 02:00:00
Greenville,GREEN,DISK,MS,1951-06-15 20:30:00
Jackson Heights,,DISK,NY,1951-06-30 07:00:00
Otis Orchards,,DISK,WA,1951-07-01 03:00:00
Calaveras County,,DISK,CA,1951-07-03 03:00:00
Green River,GREEN,SPHERE,WY,1951-07-03 12:00:00
Provo,BLUE,DISK,UT,1951-07-10 23:30:00
Spokane Valley,,SPHERE,WA,1951-07-15 14:00:00
Sunland,,CIRCLE,CA,1951-08-10 01:00:00
Altoona,,DISK,PA,1951-08-15 13:00:00
Jacksonville,,DISK,FL,1951-10-15 20:00:00
Holloman AFB,,CIRCLE,NM,1951-11-15 06:00:00
Binghamton,,DISK,NY,1952-02-10 21:00:00
Nellis AFB,,DISK,NV,1952-02-17 18:00:00
Chicago,,DISK,IL,1952-04-15 13:00:00
Greenville,ORANGE,TRIANGLE,TX,1952-04-15 16:00:00
Pittsburgh,,CYLINDER,PA,1952-05-15 10:15:00
Allyn,,DISK,WA,1952-05-15 20:00:00
Norfolk,RED,FIREBALL,VA,1952-06-01 22:00:00
Evergreen,,DISK,CO,1952-06-06 13:00:00
Chicago,,CIRCLE,IL,1952-06-10 12:00:00
Fortville,,DISK,IN,1952-06-13 07:30:00
Luke Airforce Base,,EGG,AZ,1952-06-15 00:00:00
Piedra Blanka,,CIGAR,CA,1952-06-15 00:00:00
Jacksonville,,TRIANGLE,FL,1952-06-15 21:00:00
Maywood,,CIRCLE,CA,1952-06-15 23:00:00
Lansing,,OTHER,MI,1952-06-21 22:00:00
Chester,,OVAL,PA,1952-06-22 17:45:00
Cheyenne,,DISK,WY,1952-06-30 00:00:00
Pecos,,DISK,TX,1952-06-30 03:00:00
Miami,,LIGHT,FL,1952-06-30 09:00:00
New York City,,DISK,NY,1952-06-30 13:00:00
Auburn,,OVAL,WA,1952-06-30 18:30:00
Miami,,DISK,FL,1952-06-30 21:00:00
Miami,,DISK,FL,1952-06-30 21:00:00
Miami,,LIGHT,FL,1952-06-30 21:00:00
Sebeka,,OTHER,MN,1952-07-01 15:00:00
Detroit,,SPHERE,MI,1952-07-01 22:00:00
Tacoma,,SPHERE,WA,1952-07-05 16:00:00
Evergreen,,CIRCLE,CO,1952-07-07 10:00:00
Arlington,,DISK,TX,1952-07-07 13:00:00
Arlington,GREEN,OVAL,VA,1952-07-13 21:00:00
Wilmington,,DISK,CA,1952-07-15 12:00:00
,,DISK,CA,1952-07-15 12:30:00
Litchfield,,OTHER,PA,1952-07-15 13:00:00
South Gate,,CIRCLE,CA,1952-07-15 14:00:00
North Bend,,OTHER,WA,1952-07-15 18:30:00
New York City,,OTHER,NY,1952-07-15 19:00:00
Okolona,,OVAL,MS,1952-07-22 09:30:00
Tacoma,,SPHERE,WA,1952-07-25 16:00:00
Manville,,SPHERE,RI,1952-07-30 15:00:00
Tampa,,OVAL,FL,1952-08-01 21:30:00
Smithson's Valley,,CIGAR,TX,1952-08-15 17:00:00
Prairie Grove,,DISK,AR,1952-08-15 17:30:00
Hamilton,,LIGHT,OH,1952-08-15 22:15:00
Philadelphia,,CIRCLE,PA,1952-09-09 20:00:00
Norridgewock,,DISK,ME,1952-09-15 14:00:00
Kansas City,,DISK,MO,1952-10-01 12:00:00
Richland,,CIRCLE,WA,1952-10-15 21:00:00
Chicago,,OTHER,IL,1952-12-06 19:00:00
Camp McCoy,,CYLINDER,WI,1952-12-30 12:00:00
Oklahoma,,CIGAR,TX,1953-01-01 14:00:00
Haverhill,,CHEVRON,MA,1953-04-01 15:00:00
Cambridge,RED,SPHERE,MA,1953-04-01 18:00:00
Chariton,,OTHER,IA,1953-04-10 13:00:00
Los Angeles,,FIREBALL,CA,1953-04-15 12:00:00
Midwest City,YELLOW,FIREBALL,OK,1953-04-15 16:00:00
Jamison,,CIGAR,PA,1953-04-30 16:00:00
Wenatchee,,DISK,WA,1953-06-15 12:00:00
Fort Worth,,SPHERE,TX,1953-06-15 13:00:00
North Bend,,CIRCLE,WA,1953-06-15 18:00:00
Galveston,,CIGAR,TX,1953-06-17 07:30:00
Cleveland,RED,FIREBALL,OH,1953-06-30 00:00:00
Kelso,,OVAL,WA,1953-06-30 15:00:00
Colorado Springs,,DISK,CO,1953-07-01 05:30:00
,BLUE,DISK,MT,1953-07-04 14:00:00
Ogallala,,OTHER,NE,1953-07-04 21:00:00
Nashville,,CYLINDER,TN,1953-07-15 13:00:00
Dublin,,CONE,IN,1953-07-17 22:00:00
Berkeley,,FIREBALL,MO,1953-08-01 12:00:00
"San Bernadino Mtns, Church Camp",,DISK,CA,1953-08-01 14:00:00
Vallejo,,LIGHT,CA,1953-08-07 21:00:00
Louisville,,CIRCLE,KY,1953-08-15 11:00:00
Artesia,ORANGE,OTHER,NM,1953-08-15 19:00:00
Bowleys Quarters,,SPHERE,MD,1953-08-15 21:00:00
Mauriceville,,DISK,TX,1953-10-15 14:00:00
New Orleans,,OVAL,LA,1953-10-31 19:00:00
Cicero,,OTHER,IL,1953-11-13 20:00:00
Keansburg,,CIRCLE,NJ,1953-11-15 03:00:00
Pendleton,GREEN,DISK,IN,1953-11-21 22:30:00
Lackland Air Force Base,,DISK,TX,1953-11-25 04:25:00
Lakeland,,DISK,FL,1954-01-01 01:00:00
Souix City,,CIRCLE,IA,1954-01-01 22:00:00
Santa Monica,,LIGHT,CT,1954-01-15 20:00:00
Burney,,DISK,CA,1954-02-15 19:30:00
Stanford Campus,,DISK,CA,1954-04-01 22:00:00
Corvallis,,DIAMOND,OR,1954-05-15 12:00:00
Quincy,,DISK,IL,1954-05-26 04:30:00
Houston,,DISK,TX,1954-06-01 00:00:00
Ovid,,DISK,NY,1954-06-01 06:00:00
Springfield,,CYLINDER,IL,1954-06-01 08:00:00
El Cerrito,,LIGHT,CA,1954-06-01 19:00:00
Toledo,,DISK,OH,1954-06-01 19:00:00
Norfolk,,DISK,VA,1954-06-01 20:00:00
Philadelphia,,DISK,PA,1954-06-01 20:00:00
Fish Canyon,,LIGHT,CA,1954-06-01 23:00:00
Atlanta,,DISK,GA,1954-06-06 10:00:00
Estes Park,,CIGAR,CO,1954-06-10 20:00:00
Palm Beach,,LIGHT,CA,1954-06-15 11:00:00
Claymont,,DISK,DE,1954-06-15 11:45:00
Ellington AFB,,DISK,TX,1954-06-15 16:30:00
Lorton,,OTHER,VA,1954-06-23 02:00:00
Langley Air Force Base,,CIRCLE,VA,1954-06-23 23:00:00
Thrifty,,CIRCLE,TX,1954-06-25 03:30:00
Marion,,CIRCLE,VA,1954-06-30 00:00:00
Hawthorne,,LIGHT,CA,1954-06-30 12:00:00
Pasadena,,CIRCLE,CA,1954-06-30 15:00:00
St. Louis Airport,RED,OVAL,MO,1954-07-01 21:00:00
Los Angeles,RED,CIRCLE,CA,1954-07-01 22:00:00
West Columbia,,FORMATION,SC,1954-07-07 22:00:00
Morroco,,VARIOUS,IN,1954-07-12 17:30:00
Philadelphia,,DISK,PA,1954-07-15 11:00:00
Greenfield,,CIGAR,IN,1954-07-15 14:00:00
Kansas City,,CHEVRON,KS,1954-07-15 21:00:00
Oakdale,,DISK,NY,1954-07-15 21:00:00
Bridge Hampton,,LIGHT,NY,1954-07-15 22:00:00
Farmingdale,,OVAL,NY,1954-08-01 12:00:00
Dyer,,TRIANGLE,IN,1954-08-01 17:00:00
Canton,,DISK,PA,1954-08-01 21:00:00
North Hollywood,,LIGHT,CA,1954-08-01 22:00:00
Puyallup,,OVAL,WA,1954-08-15 21:00:00
Geneva,,DISK,NY,1954-09-01 13:00:00
Beaumont,RED,DISK,TX,1954-09-09 12:30:00
Palmer Township,,OTHER,PA,1954-09-15 09:30:00
Flatwoods,,CIRCLE,WV,1954-10-01 19:00:00
Blanco,,OTHER,TX,1954-10-15 16:30:00
Manistee,,CIRCLE,MI,1954-10-15 21:30:00
Denver,,FIREBALL,CO,1954-11-01 18:30:00
Thelma,,DISK,TX,1954-11-14 01:00:00
Red Bank,ORANGE,CIRCLE,NJ,1954-12-15 23:10:00
Yucaipa,,OVAL,CA,1954-12-16 16:50:00
New York City,,LIGHT,NY,1955-02-15 19:00:00
Holbrook,YELLOW,EGG,MA,1955-05-01 15:00:00
Warrington,,FIREBALL,FL,1955-05-15 03:00:00
Homaland,,CIRCLE,CA,1955-06-01 00:00:00
Bagley,,CIRCLE,MN,1955-06-01 02:00:00
Cincinnati,,DISK,OH,1955-06-01 15:29:00
Martinez,,CIRCLE,CA,1955-06-01 17:00:00
Clinton,,EGG,TN,1955-06-01 20:30:00
Pensacola,,LIGHT,FL,1955-06-06 01:00:00
South St. Paul,,DISK,MN,1955-06-15 00:00:00
Terre Haute,ORANGE,CIRCLE,IN,1955-06-15 00:00:00
Missouri,,LIGHT,MO,1955-06-15 04:30:00
Daytona Beach,,FIREBALL,FL,1955-06-15 21:00:00
Rantoul,,LIGHT,IL,1955-06-17 07:00:00
Beach Haven Park,,DISK,NJ,1955-06-23 07:00:00
Quartz Hill,,DISK,CA,1955-06-30 00:00:00
Lubbock,,CIGAR,TX,1955-06-30 13:00:00
Dumas,,LIGHT,TX,1955-06-30 21:00:00
Morehead City,,DISK,NC,1955-06-30 21:00:00
Carnation,,DISK,WA,1955-07-01 14:00:00
Dierks,,CIGAR,AR,1955-07-01 22:00:00
Woodland Park,,OVAL,CO,1955-07-15 14:00:00
Ringold,,LIGHT,LA,1955-07-15 22:00:00
Newtown Square,,CIRCLE,PA,1955-08-06 19:00:00
Independence,,FIREBALL,MO,1955-08-08 01:00:00
Madisonville,,LIGHT,KY,1955-08-14 01:00:00
Eagle Pass,,CIGAR,TX,1955-08-15 00:01:00
Covina,,DISK,CA,1955-08-17 21:00:00
Bullhead,,DISK,AZ,1955-09-10 23:00:00
Mono Lake,,CIRCLE,CA,1955-10-01 22:00:00
Rhinebeck,,LIGHT,NY,1955-10-15 20:00:00
Weirton,,DISK,WV,1956-01-01 05:30:00
Petaluma,,OVAL,CA,1956-03-01 13:00:00
Bowie,,DISK,MD,1956-03-20 20:00:00
Hampton,,SPHERE,MN,1956-03-22 17:30:00
Canton,,CIGAR,OH,1956-05-01 12:00:00
Pine castle AFB,,LIGHT,FL,1956-05-15 20:00:00
Ada,,CIRCLE,OK,1956-05-17 10:22:00
Belton,,OTHER,MO,1956-06-01 19:00:00
Memphis,ORANGE,CYLINDER,TN,1956-06-01 20:00:00
Elmore,,SPHERE,AL,1956-06-05 00:00:00
Salt Lake City,,CIRCLE,UT,1956-06-05 00:00:00
Upper Glade,,EGG,WV,1956-06-06 12:00:00
Akron,,OTHER,OH,1956-06-06 22:00:00
San Francisco,,OTHER,CA,1956-06-15 12:15:00
Palo Alto,,FIREBALL,CA,1956-06-15 18:00:00
Richfield Springs,,CIGAR,NY,1956-06-15 18:00:00
Vista,ORANGE,CIGAR,CA,1956-06-15 19:15:00
Farragut,,CIGAR,TN,1956-06-15 20:00:00
Tulsa,,FLASH,OK,1956-06-15 20:00:00
Salem,,DISK,NJ,1956-06-15 20:32:00
New York City,,LIGHT,NY,1956-06-15 21:00:00
Cincinnati,,DISK,OH,1956-06-16 13:00:00
Madera,,SPHERE,CA,1956-06-24 14:00:00
Willow Grove,,LIGHT,PA,1956-06-30 01:00:00
Cape Girardeau,,DIAMOND,MO,1956-06-30 13:00:00
New Brunswick,,DISK,NJ,1956-06-30 16:00:00
Houston,,TRIANGLE,TX,1956-06-30 18:30:00
Beatrice,,OTHER,NE,1956-07-01 16:00:00
Sacramento,,DISK,CA,1956-07-14 19:30:00
East Hampton,,DISK,CT,1956-07-15 00:00:00
Yellowstone Park,,DISK,WY,1956-07-15 00:00:00
Sugarcreek,,DISK,OH,1956-07-15 05:00:00
Bradford,YELLOW,SPHERE,AL,1956-08-01 23:30:00
Norfolk,,CIGAR,VA,1956-09-09 05:55:00
Middle River,BLUE,CIRCLE,MD,1956-09-15 20:00:00
Hope,,CIRCLE,AR,1956-09-20 16:00:00
Greenwich,,LIGHT,CT,1956-09-21 00:00:00
Newport,,RECTANGLE,NH,1956-10-01 19:00:00
Edna,,CIRCLE,TX,1956-10-10 21:00:00
Mt. Vernon,,DISK,IN,1956-10-15 21:30:00
Aberdeen,ORANGE,CIRCLE,SD,1956-11-15 18:30:00
Painsville,,RECTANGLE,OH,1956-11-27 22:00:00
Columbus,,FORMATION,OH,1956-12-01 23:00:00
Jena,,SPHERE,LA,1957-03-05 19:30:00
Fort Devans,,OVAL,MA,1957-03-07 04:00:00
Los Angeles,,FORMATION,CA,1957-03-15 13:00:00
Los Angeles,,DISK,CA,1957-03-15 15:00:00
Canton,,CIGAR,OH,1957-05-01 12:00:00
Rhinebeck,,DIAMOND,NY,1957-05-25 13:00:00
Union Bower are irving,,FORMATION,TX,1957-06-01 00:00:00
El Paso,,DISK,TX,1957-06-01 10:00:00
E. Los Angeles,,LIGHT,CA,1957-06-01 12:00:00
Glens Falls,,DISK,NY,1957-06-01 20:00:00
Irving,,LIGHT,TX,1957-06-01 22:00:00
Hicksville,,CIRCLE,NY,1957-06-06 22:00:00
Green Lake,,OVAL,MI,1957-06-12 19:00:00
Livermore Falls,,DIAMOND,ME,1957-06-14 10:00:00
Hartford City,,DISK,IN,1957-06-15 13:00:00
Walled Lake,,CYLINDER,MI,1957-06-15 23:30:00
San Leandro,,LIGHT,CA,1957-06-19 21:00:00
Lubbock,,TRIANGLE,TX,1957-06-21 17:00:00
Norwalk,,DISK,CA,1957-06-21 19:30:00
Arctic,,CIGAR,AK,1957-06-30 00:00:00
Dallas,,OTHER,TX,1957-06-30 00:00:00
New York City,,TEARDROP,NY,1957-06-30 12:00:00
Burlington,,CIRCLE,IA,1957-06-30 13:00:00
Russellville,ORANGE,SPHERE,AR,1957-06-30 18:00:00
Barker,,DISK,NY,1957-06-30 20:00:00
Albany,,CIRCLE,CA,1957-06-30 21:00:00
Mullens,,OVAL,WV,1957-07-01 13:00:00
Talcott,,SPHERE,WV,1957-07-01 13:00:00
Del Rio,,CIGAR,TX,1957-07-01 20:00:00
Phillipsburg,,CIGAR,NJ,1957-07-10 20:00:00
Baltimore,,OTHER,MD,1957-07-10 22:00:00
Chesapeake,,DISK,OH,1957-07-13 09:00:00
Temple City,,LIGHT,CA,1957-07-15 12:00:00
Houston,,DIAMOND,TX,1957-07-15 13:00:00
Williamsport,,CIGAR,PA,1957-07-15 14:00:00
Long Beach,,DISK,CA,1957-07-15 15:00:00
Denver,,LIGHT,CO,1957-07-15 22:00:00
Salt  Lake City,,DISK,UT,1957-07-15 22:00:00
Kansas City,RED,LIGHT,MO,1957-07-15 23:30:00
Arco,,DISK,ID,1957-08-01 12:00:00
Vandalia,,DISK,OH,1957-08-03 20:00:00
Bainbridge,,FIREBALL,MD,1957-08-04 02:00:00
Indianapolis,,LIGHT,IN,1957-08-07 01:00:00
San Diego,,DISK,CA,1957-08-09 00:30:00
Ticonderoga,,DISK,NY,1957-08-14 16:00:00
California,,FIREBALL,CA,1957-08-14 21:00:00
Longview,,TRIANGLE,WA,1957-08-15 01:00:00
Ludlow,,CIGAR,MA,1957-08-15 01:00:00
Exeter,,DISK,NH,1957-08-15 21:00:00
Smith's Ferry,,DISK,ID,1957-08-16 21:30:00
Huntington,,TRIANGLE,IN,1957-08-17 23:00:00
Graham,,SPHERE,TX,1957-09-01 16:00:00
Brecksville,,CIRCLE,OH,1957-09-01 23:00:00
Los Gatos,,DISK,CA,1957-09-05 17:30:00
St. Paul,,DISK,MN,1957-09-10 19:15:00
El Paso,,DISK,TX,1957-09-15 04:00:00
Lake Jackson,,FIREBALL,TX,1957-09-15 21:30:00
Tacoma,,DISK,WA,1957-09-15 23:00:00
Hopkinsville,,CIGAR,KY,1957-09-20 00:00:00
Martelle,,CIGAR,IA,1957-10-01 20:30:00
Paterson,,DISK,NJ,1957-10-01 21:00:00
St. Paul,,LIGHT,MN,1957-10-05 19:00:00
England,,DISK,AR,1957-10-15 01:45:00
Houston,,LIGHT,TX,1957-10-15 20:30:00
Commerce City,,FIREBALL,CO,1957-10-15 22:00:00
Teaneck,,CYLINDER,NJ,1957-11-10 17:00:00
Corpus Christi,,LIGHT,TX,1957-11-10 19:00:00
St Lawrence Island,,OTHER,AK,1957-11-10 20:00:00
Madison,,CIGAR,WI,1957-12-28 00:00:00
Madison,,CIGAR,WI,1957-12-28 00:00:00
Pep,,FIREBALL,TX,1958-01-01 22:00:00
Howell,,CIGAR,MI,1958-02-15 02:30:00
Winooski,,OVAL,VT,1958-04-17 21:30:00
Winooski,,OVAL,VT,1958-04-17 21:30:00
Palmer Park,,SPHERE,MD,1958-05-05 20:00:00
North Hollywood,,CIRCLE,CA,1958-05-07 10:00:00
Cincinnati,,DIAMOND,OH,1958-05-16 00:00:00
North Hollywood,,SPHERE,CA,1958-05-20 00:00:00
Middlesex,,CIRCLE,NC,1958-06-01 02:00:00
San Francisco,,OVAL,CA,1958-06-01 19:00:00
New York City,,OVAL,NY,1958-06-01 21:00:00
Timpson,,LIGHT,TX,1958-06-01 22:00:00
Grand Island,,CIRCLE,NE,1958-06-01 22:30:00
Cincinnati,,DIAMOND,OH,1958-06-06 09:30:00
Baldwin Park,,CIGAR,CA,1958-06-10 12:00:00
Florala ?,,DISK,AL,1958-06-15 00:00:00
Mountain View,,OTHER,MO,1958-06-15 00:00:00
Coffeyville,,CIGAR,KS,1958-06-15 15:00:00
Yonkers,,LIGHT,NY,1958-06-15 15:00:00
Menlo Park,,LIGHT,CA,1958-06-15 19:15:00
Houston,,DISK,TX,1958-06-15 20:00:00
Oklahoma,,LIGHT,OK,1958-06-15 22:00:00
Pawnee,,LIGHT,OK,1958-06-15 23:00:00
Silverdale,,CYLINDER,WA,1958-06-30 12:00:00
Conyers,,TEARDROP,GA,1958-06-30 13:00:00
Camden,,DISK,ME,1958-06-30 16:00:00
Fort Worth,,DISK,TX,1958-06-30 20:00:00
Durham,,LIGHT,KS,1958-06-30 21:30:00
Thibodaux,,FIREBALL,LA,1958-06-30 23:00:00
Cheektowaga,,TEARDROP,NY,1958-07-10 09:00:00
Woodland Hills,,LIGHT,FL,1958-07-10 17:00:00
no data,,DISK,UT,1958-07-11 23:00:00
Novato,,DISK,CA,1958-07-15 17:30:00
Rock Springs,,DISK,WY,1958-07-20 21:30:00
Randallstown,,TRIANGLE,MD,1958-07-30 22:00:00
Derby,,DISK,CT,1958-08-01 19:00:00
Scarborough,,DISK,ME,1958-08-08 15:00:00
Bellevue,,LIGHT,WA,1958-08-10 21:30:00
Monroe,,OVAL,GA,1958-08-15 14:00:00
Fargo,,DISK,ND,1958-09-01 20:00:00
Perry,RED,TRIANGLE,IA,1958-09-01 21:00:00
Ashland,,CIRCLE,KY,1958-09-14 19:30:00
Davis Jct.,,FIREBALL,IL,1958-09-20 22:20:00
Phelps County,,DISK,NE,1958-09-25 19:00:00
St. Paul,,OTHER,MN,1958-10-20 21:00:00
Riverside,,LIGHT,IL,1958-10-30 01:00:00
Greenville,,DISK,RI,1958-11-15 22:30:00
Milwaukee,,DISK,WI,1958-11-25 23:00:00
South San Francisco,,DISK,CA,1959-01-10 18:30:00
Miami,,SPHERE,FL,1959-04-01 01:00:00
Mendham,,DISK,NJ,1959-04-15 21:00:00
Baden,,CYLINDER,PA,1959-04-26 19:00:00
Columbus,,LIGHT,OH,1959-05-01 18:30:00
El Sobrante,YELLOW,CIRCLE,CA,1959-05-05 09:00:00
Cincinnati,,DISK,OH,1959-05-30 17:00:00
Wabash River,,CIRCLE,IN,1959-06-01 08:00:00
Orange,,CYLINDER,CT,1959-06-01 12:00:00
Sidney,,LIGHT,OH,1959-06-01 18:30:00
Nelson,,CIGAR,NE,1959-06-01 22:00:00
Arvada,,CIRCLE,CO,1959-06-05 13:00:00
Minneapolis,,OTHER,MN,1959-06-15 08:30:00
Campbell,,DISK,CA,1959-06-15 10:00:00
